CID,Train_R2
1986,0.3610178130541387
190,0.35780370903215764
191,0.35691717144243296
135401907,0.34325275203943534
978,0.35895268235290545
6009,0.3602109189357115
4075,0.3578655986044502
4649,0.3578128623043111
2174,0.3629145205498518
2244,0.35609006052506337
3661,0.3575064233813787
3661,0.3570379758417417
2284,0.3534434903358962
2331,0.35953232208808183
2337,0.35845117368078816
243,0.3717609496389709
7095,0.3618461670061266
2471,0.3588209560290384
2482,0.3591658381034247
7184,0.3615196331613863
2519,0.3571056260795983
2537,0.3652512607605372
2554,0.3542384048981421
2673,0.36514745526783904
2732,0.3589014540845405
2733,0.3689329231048247
2756,0.34436989860335937
2794,0.35840000817242995
439739,0.35856011921543024
521440,0.3668297841424883
597,0.36114061604951586
2955,0.35868596653872503
223578,0.3590243934492924
3003,0.3576098690516577
2140,0.3595090975927513
3059,0.3613406453768519
234096,0.36441744673037796
1775,0.36461260457230416
3114,0.3572943658159352
3120,0.361810765949266
3247,0.3604818253583569
450,0.3585028092572736
3269,0.36608834644318444
698,0.3625101564485592
8434,0.3651813732539453
3285,0.35727328392953606
3335,0.359041037006127
3371,0.3671859645930199
3366,0.35896875014058105
3385,0.36226448015215174
3394,0.3681188324340335
135444779,0.37925729039230527
3474,0.35576071941708637
3512,0.366215762863899
3516,0.4126564860309601
135398634,0.39336379935501775
3559,0.36647987733529985
3639,0.3585184597559161
3640,0.35842040532540426
3647,0.3582164091030873
3672,0.36609386973807995
3702,0.3578146589504291
3718,0.3637127932208805
3735,0.3503988348482886
3825,0.37017507418652856
3828,0.3586445867127171
9502,0.3579922777804346
4044,0.3619539928656495
4107,0.35953987450573294
7456,0.35722578934315735
4201,0.3576737444035124
4411,0.3814531153741603
4421,0.3590747731051131
931,0.36130852929436563
8663,0.35869127773498893
1302,0.36715645506491595
4536,0.355397497105574
4539,0.3592226576966692
1983,0.3562328260746292
4748,0.3561531836244129
4754,0.3582992308867678
4764,0.3537960579830023
4781,0.3581454724324977
4891,0.35888211896693
4894,0.3584229894420158
4909,0.35875760862734063
4920,0.3567005453585695
7175,0.3584699300043134
1046,0.35385435941008475
1065,0.3584758743970321
1065,0.3581098834234206
5147,0.356706441631755
338,0.35801775867385655
5267,0.35660960598733144
5304,0.3579327954734793
5320,0.35727006737956163
5215,0.3591563328899469
5325,0.35849404567685855
5327,0.3593613984009695
5329,0.3583740964755734
5333,0.3562277611487394
5340,0.36439444954901695
1548885,0.3567279604864126
5355,0.35854670356165325
54677971,0.33862825326883034
5405,0.35484189714324427
3117,0.3551226998711615
5429,0.35884521458221835
2153,0.3566510334612702
5433,0.35669977071825015
1135,0.35754895804760856
5544,0.35985794835859614
5546,0.35972376760621244
6895,0.35396902716565887
5578,0.35828168213329264
1174,0.35787042927481033
1175,0.36092797939861376
1188,0.36236349718558936
