CID,n,FC_1_C4_0_H1_1_/_1_/_0_0,FC_18_O2_0_/_/_0
1302,0.190476,0.333333,0.0
1775,0.285714,0.666667,0.0
2247,1.0,0.916667,0.0
2727,0.190476,0.166667,0.0
3016,0.333333,0.5,0.0
3019,0.047619,0.0833333,0.0
3335,0.285714,0.583333,0.0
3475,0.428571,0.333333,0.0
3488,0.952381,0.5,0.0
3512,0.52381,0.0,1.0
3639,0.190476,0.0,0.0
3672,0.0952381,0.166667,0.0
3715,0.571429,0.416667,0.0
3718,0.380952,0.5,0.0
3825,0.285714,0.583333,0.0
4196,0.904762,0.5,0.0
4748,0.666667,0.416667,0.0
4754,0.0,0.166667,0.0
4911,0.285714,0.166667,0.0
5408,0.380952,0.166667,0.0
5578,0.380952,0.0833333,0.0
448537,0.333333,0.5,0.0
1548887,0.571429,0.5,0.0
2733526,0.714286,1.0,1.0
54676228,0.47619,0.5,0.0
135398737,0.47619,0.416667,0.0
